title,date,summary,link
Trump threatens 100% tariffs on countries putting 'Digital Services Tax on American Companies' - CNBC,2026-06-26,Trump threatens 100% tariffs on countries putting 'Digital Services Tax on American Companies'&nbsp;&nbsp;CNBC,https://news.google.com/rss/articles/CBMickFVX3lxTE9rVFNQMjVvTTBlMW05cnJ2Nms2bllNMTdvQ0lodjRBTUUwRjFmMXd1RUNRd080TUJRUUVRQTR3U1FmTTFEZUtDWTdhUHlQUUhjeExScDUzOHotUHpDR2Z1LVNSWGFBZ00yZzItMmRMVTBoQdIBd0FVX3lxTE5NSVpGellBSlQybDJTX2tJd0pRZmpXM3BQZXlzMUtWYVd0UVJrQjNYX3lWZkxMN0IwbW1ZeURFNGVkOHJKMWdDVDVFSGU5TDAtcXRQbmFMUUpmWEo1VTE4eU1nQ0N0YU5mR0hiRjJuMEtJUm5nMmZZ?oc=5
Trump threatens 100% tax on European imports if countries impose tax on digital services - AP News,2026-06-26,Trump threatens 100% tax on European imports if countries impose tax on digital services&nbsp;&nbsp;AP News,https://news.google.com/rss/articles/CBMihgFBVV95cUxQejBVS2s2RXhBczNPb0VTcUlaOEUxTWVqcW9kczFqejIxdGl5R0UzWXNMYnNqWUVfRE9CdE02dHoxNU9Ic0NRdENITzNNZ082RXBMdkFGY3gza3d4cGN1b3Z6U1JYaU40c2lES2FpcGNDbmR2UXB6WUgtVkYzWHdTOGNkU2hKUQ?oc=5
Trump threatened 100% tariffs on Europe. Here’s why nobody flinched - CNN,2026-06-26,Trump threatened 100% tariffs on Europe. Here’s why nobody flinched&nbsp;&nbsp;CNN,https://news.google.com/rss/articles/CBMia0FVX3lxTE1tbDFERXY2THBCNW1taWdDY3dxdDJTVzMxUi15WWVjVUctQUkxTS1ITVRkSnQ2T3kyamZ3dTR1V01jOGtwV3YzRUhDMmMxUXJuSVFoNGI0ZEJpaUtUaWczQ2dCR3MyT184TmxJ?oc=5
President Threatens 100 Percent Tariffs on Europe Over Tech Taxes - The New York Times,2026-06-27,President Threatens 100 Percent Tariffs on Europe Over Tech Taxes&nbsp;&nbsp;The New York Times,https://news.google.com/rss/articles/CBMiY0FVX3lxTE5oUXFkZlE4MzV2a09wR1BCVzZ2SWZzNFFTQnJCd3dYaHdhZU45c3NUNTZSZXlOSE5BeUY1UGVnYTlabjk1cGllX2ZZdWprMXJrdFdKaHVBZm5CZ1pFWWhndzFwaw?oc=5
Trump threatens 100% tariff on European nations over tech tax - BBC,2026-06-27,Trump threatens 100% tariff on European nations over tech tax&nbsp;&nbsp;BBC,https://news.google.com/rss/articles/CBMiWkFVX3lxTE1CcHJhblkxR2FqVmZJZWxSOUxhR2tJcDRMbWE4WG8xRmNHTVlrQUdHcnhKS0ZleTh1UXVPWmQwRERpMTJCb2N6Zk1ZR1FUU2pmY2VnYWE1Y3dGUQ?oc=5
Trump threatens 100% tariff on any country that imposes digital services tax - Reuters,2026-06-26,Trump threatens 100% tariff on any country that imposes digital services tax&nbsp;&nbsp;Reuters,https://news.google.com/rss/articles/CBMiuAFBVV95cUxOdUtrVGNqaUdtWUFXS1dDTVZ1SmhvNWlvLUpQanRXRkd1cWpXcXZmTUJVZXhHci1Yb2EtRUF0TmE3ZndBRWJlOGlwS0RCY24ybnQ0djYtRmpfekZOS3I4TFdhUnpiUWtvMTdFeGo0RFdabkdKWDl5dS04dnhIMUd1bmRLSGdGaUNWMW5CaC1QWVJFUFNvdGNTem9yYW5EQjFCTVZuWjRoV2N1bEkyc0c4TC1fNnhqdkM4?oc=5
Donald Trump warns of 100% tariff on countries implementing digital services tax - Financial Times,2026-06-26,Donald Trump warns of 100% tariff on countries implementing digital services tax&nbsp;&nbsp;Financial Times,https://news.google.com/rss/articles/CBMihAFBVV95cUxQSXJmZWZKdFVRZWdvNW5JSXVTbDh0NTg4TWoxTEY5WVNBRVFqS2NzeTlxdTg3c0lzSGpzTmI5X2FYMjhJVzU1WmdEQ044SHFVenZpd0dkT2NmcURSZ1lyXzZLZ3dWeGN2cHh5RnU4VUdZVkpCZGhaZFVBQ0k5QlZCQzBya1M?oc=5
Trump threatens additional tariffs on European countries using digital service taxes - Politico,2026-06-26,Trump threatens additional tariffs on European countries using digital service taxes&nbsp;&nbsp;Politico,https://news.google.com/rss/articles/CBMilgFBVV95cUxPQlFoMXMwd2NQOWxCNkhIaTlGV21rVUtDT2o4TXI5UWdUcFRvbFlmTE9KRVVLSU1MSm1uUGtDNjBFT3YtTmFLdEd4dkF2U1drSGZNM2IydWtCZEFrUzlIY1hYY21tQnpLQlJXMDRyLTNaZkxwZFlua0ZGQl9tZTdwZnA1bllGd3FlZlA5eE1HZmhMLU1oTWc?oc=5
Trump Threatens 100% Tariff On Countries Imposing Digital Services Tax On American Firms — ‘This Tariff Will Supercede Trade Deals’ - Yahoo Finance,2026-06-26,Trump Threatens 100% Tariff On Countries Imposing Digital Services Tax On American Firms — ‘This Tariff Will Supercede Trade Deals’&nbsp;&nbsp;Yahoo Finance,https://news.google.com/rss/articles/CBMiowFBVV95cUxNemQxNmhlMzlrd2EyNlBMMGFQYmoweG5Udld4SlQ5ZVZmZkIwMUR2ZnBvNXNFbkVxX2UxWVlUQS1FR1JsVExwWXRPa2xNY21kVnlGOVhYNUE0YVd5MXBveE1QanJDcW00SnBVa2xpWkJGQlljMTg0UFFHc3pneERfcFE3TFZndmJ5cjNHMDdyc3M3bTJrX0VkNzkxQk5KZ1R1Y0VF?oc=5
Trump vows immediate 100% tariff if countries levy digital services tax - CBS News,2026-06-26,Trump vows immediate 100% tariff if countries levy digital services tax&nbsp;&nbsp;CBS News,https://news.google.com/rss/articles/CBMiekFVX3lxTE5sdldsQVRadGdzVlBtdmhlVTBkTzBMYm5OUTlPa1h2azJ4ODFDMnVJaFpGZ19oUHlBN2xKVnc3dHotc2NCWU5zVmFOUWVPN1F2ZFNhNU0xZmxtVGdwVE83V1NtcXJnbm13WkNVSFZkeVhodERLOFBTT253?oc=5
